的	〔白勹丶 · unid〕
困	〔囗木 · rem〕
税	〔禾丷口儿 · xhdp〕
洋	〔氵羊 · kgy〕
鬼	〔鬼 · ag〕
炮	〔火勹巳 · cnvs〕
舰	〔舟见 · iej〕
付	〔亻寸 · jkc〕
诸	〔讠耂日 · sqor〕
货	〔亻贝 · jvob〕
松	〔木八厶 · ehks〕
归	〔リ彐 · pbj〕
败	〔贝攵 · ohp〕
幸	〔土 · ggy〕
概	〔木旡 · eidu〕
寻	〔彐寸 · bkc〕
评	〔讠干丷 · sehb〕
吸	〔口及 · dcj〕
恩	〔囗大心 · rmhx〕
介	〔人 · jpd〕
朱	〔丿未 · taw〕
探	〔扌冖八木 · uwhe〕
县	〔且厶 · fks〕
脱	〔月丷口儿 · vhdp〕
移	〔禾夕夕 · xllx〕
缺	〔缶人 · anjr〕
画	〔一田凵 · fqmk〕
误	〔讠口一大 · sdfm〕
释	〔丿米又 · tpru〕
旁	〔冖方 · iwlf〕
跳	〔⻊儿冫 · ppww〕
藏	〔艹臣 · lnqc〕
春	〔㇏日 · aior〕
睡	〔目千艹士 · qllg〕
吉	〔士口 · gdk〕
端	〔立山而 · ivle〕
味	〔口未 · daw〕
杂	〔九木 · kem〕
翻	〔丿米田羽 · tpqz〕
雪	〔⻗彐 · tbj〕
遗	〔贝辶 · couc〕
款	〔士示欠 · gfeq〕
刺	〔木冂刂 · empd〕
附	〔阝亻寸 · tjkc〕
爷	〔八乂卩 · hbzj〕
核	〔木亥 · ekh〕
央	〔冂大 · mmd〕
减	〔冫戊一口 · wnfd〕
阴	〔阝月 · tvy〕
编	〔纟户 · imic〕
版	〔片⺁又 · axry〕
智	〔矢口日 · odor〕
齐	〔齐 · qq〕
雨	〔雨 · tv〕
徐	〔彳人 · wjxh〕
鲁	〔鱼日 · wor〕
仙	〔亻山 · jvs〕
湖	〔氵古月 · kcvy〕
钟	〔钅口丨 · zdgs〕
蒙	〔艹冖一豕 · lwfj〕
丽	〔一 · fvvy〕
班	〔王王 · npnw〕
咱	〔口自 · doi〕
康	〔广氺 · xbks〕
损	〔扌口贝 · udob〕
震	〔⻗辰 · tfc〕
借	〔亻龷日 · jlor〕
固	〔囗古 · rcg〕
诗	〔讠土寸 · sgkc〕
镇	〔钅十目 · znqh〕
吴	〔口一大 · dfmd〕
域	〔土戈口一 · gpdf〕
均	〔土勹冫 · gnwb〕
秦	〔㇏禾 · aixh〕
妇	〔女彐 · bbj〕
鲜	〔鱼羊 · wgy〕
序	〔广予 · xiv〕
烟	〔火囗大 · crmd〕
洞	〔氵冂一口 · kmfd〕
猛	〔犭子皿 · mham〕
测	〔氵贝刂 · kopd〕
练	〔纟 · iryx〕
旧	〔丨日 · gor〕
堂	〔土 · sgt〕
笔	〔⺮毛 · rvm〕
饭	〔饣⺁又 · qxry〕
顶	〔丁页 · awy〕
灭	〔一火 · fch〕
庄	〔广土 · xgt〕
括	〔扌舌 · uas〕
怒	〔女又心 · brhx〕
补	〔衤卜 · tyb〕
逐	〔豕辶 · juc〕
毕	〔匕十 · vvns〕
席	〔广廿巾 · xlrj〕
禁	〔木木示 · eefs〕
剧	〔尸古刂 · ccpd〕
乡	〔乡 · ix ixx〕
湾	〔氵亠弓 · kzcb〕
卖	〔十乛⺀大 · nawm〕
牛	〔牛 · qn〕
避	〔尸口辛辶 · cdnu〕
欲	〔谷欠 · heq〕
弄	〔王廾 · nlc〕
忍	〔刀丶心 · pihx〕
旅	〔方𠂉 · leti〕
暴	〔日龷八氺 · olhk〕
虚	〔虍业 · zcy〕
额	〔宀各页 · wswy〕
含	〔亽口 · jadk〕
忘	〔亡心 · fhx〕
抱	〔扌勹巳 · unvs〕
油	〔氵由 · kdy〕
肉	〔冂人人 · mjjr〕
输	〔亼⺝刂 · yjvp〕
洛	〔氵各 · ksg〕
祖	〔礻且 · ffq〕
缓	〔纟爫一又 · iyfr〕
迎	〔卩辶 · bzuc〕
虎	〔虎 · zh zhh〕
票	〔覀示 · vfs〕
销	〔钅⺌⺝ · zyvy〕
婚	〔女氏日 · bbor〕
乃	〔乃 · vn〕
板	〔木⺁又 · exry〕
冰	〔冫水 · wks〕
伸	〔亻日丨 · jogs〕
录	〔氺 · bks〕
遍	〔户辶 · miuc〕
虑	〔虍心 · zhx〕
宁	〔宀丁 · wad〕
臣	〔臣 · qc〕
玩	〔王二儿 · nmpe〕
熟	〔子九灬 · ghkc〕
谷	〔谷 · hg〕
予	〔予 · iv〕
谋	〔讠甘木 · szem〕
炸	〔火乍 · cwa〕
督	〔⺊一小目 · yfyq〕
奥	〔丿冂米大 · tmpm〕
狂	〔犭王 · mnw〕
亡	〔亡 · fw〕
港	〔氵龷八巳 · klhv〕
庭	〔广㇒士廴 · xtgu〕
博	〔十甫寸 · nnkc〕
材	〔木丿 · entp〕
俄	〔亻丿扌戈 · jtup〕
韩	〔十日十韦 · nong〕
混	〔氵日匕 · kovv〕
词	〔讠㇆一口 · safd〕
盘	〔舟皿 · iam〕
尊	〔丷酉寸 · hykc〕
寒	〔宀⺀ · wqhw〕
遭	〔一曲曰辶 · fyou〕
训	〔讠川 · soc〕
拍	〔扌白 · uub〕
麻	〔麻 · zm〕
荣	〔艹冖木 · lwem〕
卷	〔丷夫⺋ · hhzj〕
夏	〔一自夊 · fohi〕
谓	〔讠田⺝ · sqvy〕
凡	〔几丶 · oid〕
私	〔禾厶 · xks〕
厂	〔厂 · xc〕
丁	〔丁 · ad〕
骨	〔骨 · fg fgg〕
牙	〔牙 · ly〕
休	〔亻木 · jem〕
迫	〔白辶 · uuc〕
授	〔扌爫冖又 · uywr〕
替	〔夫夫曰 · hhor〕
拥	〔扌用 · uty〕
摆	〔扌罒土厶 · uygk〕
默	〔犬 · pmq〕
勒	〔革力 · tsl〕
泽	〔氵又 · krus〕
骑	〔马大可 · nmzk〕
疗	〔疒了 · arl〕
睛	〔目龶⺝ · qavy〕
店	〔广⺊口 · xydk〕
载	〔十戈 · npyc〕
诺	〔讠艹𠂇口 · slnd〕
健	〔亻聿廴 · jbuy〕
扬	〔扌ㄋ · uaes〕
纸	〔纟氏 · ibs〕
透	〔禾乃辶 · xvuc〕
床	〔广木 · xem〕
唯	〔口隹 · dui〕
岸	〔山厂干 · vxeg〕
迅	〔⺄十辶 · anuc〕
尤	〔尤 · oy〕
稳	〔禾⺈彐心 · xxbh〕
园	〔囗二儿 · rmpe〕
徒	〔彳走 · wpz〕
伦	〔亻仑 · jjl〕
坦	〔土日一 · gofi〕
择	〔扌又 · urus〕
蓝	〔艹〢皿 · lpra〕
握	〔扌尸至 · ucyi〕
抵	〔扌氏丶 · ubid〕
姓	〔女生 · bls〕
郑	〔䒑大阝 · hmte〕
弱	〔弓冫弓冫 · bwbw〕
软	〔欠 · yeq〕
绿	〔纟氺 · ibks〕
叹	〔口又 · dry〕
轮	〔仑 · yjl〕
束	〔束 · xs〕
盖	〔⺷皿 · gam〕
丈	〔一 · fbi〕
篇	〔⺮户 · rmic〕
午	〔𠂉十 · ens〕
窗	〔穴丿囗夂 · etrh〕
歌	〔可可欠 · zzeq〕
雄	〔𠂇厶隹 · nkui〕
森	〔木木木 · eeem〕
醒	〔酉日生 · yols〕
伙	〔亻火 · jch〕
残	〔歹一戈 · gfpg〕
戏	〔又戈 · rpg〕
妻	〔一女 · fbbn〕
折	〔扌斤 · utj〕
甲	〔甲 · sj sjj〕
啦	〔口扌立 · duil〕
套	〔大镸 · mpc〕
塔	〔土艹亼口 · gljd〕
馆	〔饣宀㠯 · qwki〕
秋	〔禾火 · xch〕
梅	〔木𠂉母 · eekm〕
迷	〔米辶 · puc〕
典	〔 · ihb〕
灯	〔火丁 · cad〕
厉	〔厂一 · xfpd〕
秀	〔禾乃 · xvn〕
扩	〔扌广 · uxg〕
曲	〔曲 · yq〕
爸	〔八乂巴 · hbmb〕
努	〔女又力 · brsl〕
潜	〔氵夫夫曰 · khho〕
街	〔行土土 · pggt〕
硬	〔石一日 · mfob〕
宇	〔宀一 · wfns〕
哭	〔口口犬 · ddmq〕
阻	〔阝且 · tfq〕
萨	〔艹阝厂 · ltix〕
纵	〔纟人人 · ijjr〕
喊	〔口戊一口 · dnfd〕
搞	〔扌高 · ugg〕
冒	〔⺜目 · oqm〕
罢	〔罒土厶 · ygks〕
盛	〔戊㇆皿 · naam〕
塞	〔宀土 · wqhg〕
妹	〔女未 · baw〕
萧	〔艹肀八 · lbph〕
桌	〔⺊日木 · yoem〕
圆	〔囗口贝 · rdob〕
纷	〔纟八刀 · ihpd〕
悲	〔非心 · rhx〕
鼓	〔支 · hci〕
淡	〔氵火火 · kcch〕
访	〔讠方 · slf〕
础	〔石屮凵 · msmk〕
杜	〔木土 · egt〕
宽	〔宀艹见 · wlej〕
拜	〔龵一丰 · ufaf〕
犹	〔犭尤 · moy〕
抽	〔扌由 · udy〕
刑	〔一廾刂 · flpd〕
偏	〔亻户 · jmic〕
奔	〔大十廾 · mnlc〕
侵	〔亻彐冖又 · jbwr〕
延	〔丿止廴 · tsuy〕
懂	〔忄艹千里 · hlld〕
蒋	〔艹丬夕寸 · lalk〕
针	〔钅十 · zns〕
抬	〔扌厶口 · ukdk〕
舞	〔𠂉卌一㐄 · elfv〕
赞	〔⺧儿⺧贝 · qpqo〕
侧	〔亻贝刂 · jopd〕
赛	〔宀贝 · wqho〕
纯	〔纟一 · ifsc〕
申	〔日丨 · ogs〕
夺	〔大寸 · mkc〕
柳	〔木卯 · ebm〕
距	〔⻊匚コ · pnnk〕
丹	〔⺆亠 · mzt〕
仿	〔亻方 · jlf〕
川	〔川 · oc〕
途	〔人辶 · jxuc〕
曹	〔一曲曰 · fyor〕
购	〔贝勹厶 · onks〕
亿	〔亻乙 · jai〕
乌	〔乌 · xu xuu〕
胸	〔月勹㐅凵 · vnbm〕
浪	〔氵丶艮 · kiig〕
贝	〔贝 · ob〕
偷	〔亻亼⺝刂 · jjvp〕
姆	〔女母 · bkm〕
竞	〔立口儿 · idpe〕
茶	〔艹人木 · ljem〕
末	〔一木 · fem〕
毁	〔臼工殳 · purs〕
烧	〔火一儿 · cpfp〕
伟	〔亻韦 · jgw〕
库	〔广车 · xyc〕
弃	〔廾 · blc〕
墙	〔土土丷口 · gghd〕
雅	〔牙隹 · lui〕
贸	〔贝 · bob〕
沿	〔氵几口 · kodk〕
爆	〔火日龷氺 · colk〕
振	〔扌辰 · ufc〕
趣	〔走耳又 · pqry〕
操	〔扌口口木 · udde〕
诚	〔讠戊㇆ · snae〕
挑	〔扌儿冫 · upww〕
杰	〔木灬 · ech〕
轰	〔车又又 · yrry〕
盟	〔日月皿 · ovam〕
勇	〔龴力 · ktsl〕
敬	〔艹句攵 · lghp〕
狗	〔犭句 · mgj〕
恨	〔忄艮 · hig〕
迹	〔亠辶 · zcuc〕
呆	〔口木 · dem〕
疾	〔疒矢 · aos〕
哲	〔扌斤口 · utdk〕
促	〔亻足 · jpu〕
麦	〔龶夂 · ahi〕
横	〔木黄 · enh〕
丰	〔丰 · af〕
闭	〔门丿 · antp〕
撤	〔扌⺝攵 · ubvh〕
析	〔木斤 · etj〕
挂	〔扌土土 · uggt〕
彩	〔爫木彡 · yees〕
埃	〔土厶矢 · gkos〕
召	〔刀口 · pdk〕
童	〔立里 · idl〕
摩	〔麻手 · zus〕
乘	〔禾匕 · xavb〕
符	〔⺮亻寸 · rjkc〕
筑	〔⺮工几丶 · ruoi〕
眉	〔目 · cqm〕
侠	〔亻夫丷 · jhhb〕
袭	〔龙衣 · tti〕
孤	〔子瓜 · hyg〕
培	〔土立口 · gidk〕
耶	〔耳阝 · qte〕
染	〔氵九木 · kkem〕
稍	〔禾⺌⺝ · xyvy〕
妙	〔女𡭔丿 · bytp〕
凶	〔㐅凵 · bmk〕
页	〔页 · wy〕
戴	〔十戈田八 · npqh〕
洗	〔氵⺧儿 · kqpe〕
陷	〔阝⺈臼 · txpj〕
络	〔纟各 · isg〕
植	〔木十目一 · enqf〕
厚	〔厂日子 · xohi〕
措	〔扌龷日 · ulor〕
瓦	〔瓦 · rw〕
援	〔扌爫一又 · uyfr〕
汇	〔氵匚 · knk〕
触	〔⺈用虫 · xtcc〕
售	〔隹口 · udk〕
违	〔韦辶 · guc〕
粮	〔米丶艮 · piig〕
泪	〔氵目 · kqm〕
彻	〔彳七刀 · wrpd〕
洪	〔氵龷八 · klhb〕
献	〔十冂犬 · nmgm〕
魂	〔云鬼 · bag〕
抢	〔扌人⺋ · ujzj〕
玄	〔亠幺 · ziy〕
巧	〔工一ㄅ · ufae〕
珠	〔王丿未 · ntaw〕
劲	〔ス工力 · rusl〕
彼	〔彳皮 · wrp〕
摸	〔扌艹日大 · ulom〕
凭	〔亻㇒士几 · jtgo〕
暂	〔斤日 · ytor〕
碰	〔石䒑业 · mhcy〕
皆	〔匕白 · vvub〕
尖	〔小大 · ymd〕
忠	〔口丨心 · dghx〕
奉	〔㇏ · aius〕
享	〔子 · ghi〕
聚	〔耳又丿 · qrtk〕
胆	〔月日一 · vofi〕
厅	〔厂丁 · xad〕
闹	〔门亠巾 · azrj〕
灰	〔𠂇火 · nch〕
津	〔氵聿 · kbv〕
倾	〔亻页 · jvwy〕
订	〔讠丁 · sad〕
鸟	〔鸟 · xn〕
扑	〔扌卜 · uyb〕
孔	〔子乚 · hae〕
汽	〔氵气 · kvq〕
吓	〔口一卜 · dfyb〕
驻	〔马丶王 · ninw〕
叔	〔⺊一小又 · yfyr〕
凤	〔几又 · ory〕
紫	〔匕糸 · svis〕
妖	〔女丿大 · btmd〕
凌	〔冫土八夊 · wghh〕
唱	〔口日曰 · door〕
梁	〔氵刀八木 · kphe〕
箭	〔⺮䒑⺝刂 · rhvp〕
融	〔鬲虫 · ncc〕
殊	〔歹丿未 · gtaw〕
课	〔讠田木 · sqem〕
莱	〔艹未丷 · lahb〕
奴	〔女又 · bry〕
扫	〔扌彐 · ubj〕
肩	〔户⺝ · mvy〕
鼻	〔自田丌 · oqlc〕
庆	〔广大 · xmd〕
镜	〔钅音儿 · zxpe〕
菜	〔艹爫木 · lyem〕
恢	〔忄𠂇火 · hnch〕
御	〔彳卩 · wazj〕
烦	〔火页 · cwy〕
裁	〔十戈衣 · npti〕
估	〔亻古 · jcg〕
隔	〔阝鬲 · tng〕
尸	〔尸 · cs〕
尾	〔尸毛 · cvm〕
仪	〔亻丶乂 · jibi〕
瞧	〔目隹灬 · quch〕
迟	〔尸丶辶 · ciuc〕
圈	〔囗丷夫⺋ · rhhz〕
译	〔讠又 · srus〕
骂	〔口口马 · ddnm〕
珍	〔王人彡 · njes〕
币	〔丿巾 · trj〕
惨	〔忄厶大彡 · hkme〕
剩	〔禾匕刂 · xavp〕
愈	〔亼⺝刂心 · jvph〕
飘	〔覀示⺇乂 · vfob〕
荒	〔艹亡 · lfoc〕
惯	〔忄毌贝 · hkob〕
缘	〔纟彑 · ibjs〕
曼	〔曰罒又 · oyry〕
舍	〔人 · jas〕
季	〔禾子 · xhi〕
旗	〔方𠂉 · lezh〕
艾	〔艹乂 · lbi〕
牌	〔片白丿十 · autn〕
恰	〔忄亼口 · hjdk〕
废	〔广又丶 · xsri〕
腰	〔月覀女 · vvbn〕
腿	〔月艮辶 · viuc〕
玛	〔王马 · nnm〕
累	〔田糸 · qis〕
涉	〔氵止 · kssi〕
燕	〔廿口灬 · ldac〕
朗	〔丶月 · iivy〕
颗	〔田木页 · qewy〕
签	〔⺮亼⺍一 · rjkf〕
吹	〔口欠 · deq〕
罚	〔罒讠刂 · yspd〕
拒	〔扌匚コ · unnk〕
仰	〔亻卩 · jbzj〕
描	〔扌艹田 · ulqt〕
杯	〔木不 · ecb〕
奖	〔丬夕大 · almd〕
奋	〔大田 · mqt〕
奶	〔女乃 · bvn〕
贫	〔八刀贝 · hpob〕
甘	〔甘 · zg〕
婆	〔氵皮女 · krbn〕
繁	〔𠂉母攵糸 · ekhi〕
穷	〔穴力 · esl〕
伏	〔亻犬 · jmq〕
幕	〔艹日大巾 · lomr〕
殿	〔尸龷八殳 · clhr〕
沈	〔氵冖 · kwpe〕
绍	〔纟刀口 · ipdk〕
启	〔户口 · mdk〕
缩	〔纟宀亻白 · iwju〕
粗	〔米且 · pfq〕
弗	〔弗 · tf〕
患	〔口口丨心 · ddgh〕
仇	〔亻九 · jkj〕
债	〔亻龶贝 · jaob〕
碎	〔石亠人十 · mzjn〕
挺	〔扌㇒士廴 · utgu〕
泰	〔㇏氺 · aiks〕
羊	〔羊 · gy〕
旋	〔方𠂉疋 · lets〕
晓	〔日一儿 · opfp〕
障	〔阝音十 · txns〕
桥	〔木丿大 · etmp〕
仁	〔亻二 · jme〕
郎	〔丶阝 · iite〕
孟	〔子皿 · ham〕
讯	〔讠⺄十 · sans〕
虫	〔虫 · cc〕
郭	〔子阝 · ghte〕
幻	〔幺㇆ · iae〕
赫	〔土土 · gcgc〕
裂	〔歹刂衣 · gpti〕
凝	〔冫匕矢疋 · wvot〕
颜	〔厂彡页 · ixew〕
刊	〔干刂 · epd〕
慈	〔䒑幺幺心 · hiih〕
吕	〔口口 · ddk〕
昨	〔日乍 · owa〕
辛	〔辛 · nx〕
役	〔彳殳 · wrs〕
逼	〔一口田辶 · fdqu〕
泛	〔氵丿之 · ktri〕
瑞	〔王山而 · nvle〕
伴	〔亻丷 · jhus〕
袁	〔土口 · gdti〕
翼	〔羽田龷八 · zqlh〕
舒	〔人予 · jaiv〕
宜	〔宀且 · wfq〕
偶	〔亻田⽱ · jqvr〕
峰	〔山夂丰 · vhaf〕
径	〔彳ス工 · wrug〕
岂	〔山己 · vvj〕
潮	〔氵十日月 · knov〕
捕	〔扌甫 · unf〕
辆	〔两 · yml〕
邪	〔牙阝 · lte〕
症	〔疒一止 · afsi〕
颇	〔皮页 · rwy〕
插	〔扌千臼 · ulpj〕
袋	〔亻弋衣 · jpti〕
爬	〔爪巴 · ymb〕
掩	〔扌大日乚 · umoa〕
霍	〔⻗隹 · tui〕
浮	〔氵爫子 · kyhi〕
倍	〔亻立口 · jidk〕
壮	〔丬士 · ags〕
豪	〔豕 · gjs〕
拔	〔扌𠂇又丶 · unri〕
拖	〔扌𠂉也 · ueey〕
渡	〔氵广廿又 · kxlr〕
悄	〔忄⺌⺝ · hyvy〕
堆	〔土隹 · gui〕
鸡	〔又鸟 · rxn〕
狼	〔犭丶艮 · miig〕
播	〔扌丿米田 · utpq〕
零	〔⻗亽龴 · tjks〕
躲	〔身几木 · zoem〕
映	〔日冂大 · ommd〕
灾	〔宀火 · wch〕
尺	〔尸丶 · cid〕
俗	〔亻谷 · jhg〕
疯	〔疒⺇乂 · aobi〕
丧	〔土丷 · ghti〕
冬	〔夂⺀ · hwb〕
辩	〔讠辛 · nsnx〕
炎	〔火火 · cch〕
咬	〔口六乂 · dabi〕
码	〔石马 · mnm〕
猜	〔犭龶⺝ · mavy〕
壁	〔尸口辛土 · cdng〕
艘	〔舟臼丨又 · ipgr〕
滚	〔氵衣八厶 · kthk〕
贴	〔贝⺊口 · oydk〕
赏	〔贝 · sob〕
劝	〔又力 · rsl〕
兽	〔丷田一口 · hqfd〕
番	〔丿米田 · tpqt〕
哼	〔口了 · dgrl〕
撞	〔扌立里 · uidl〕
伍	〔亻五 · jwu〕
柔	〔予丿木 · item〕
旦	〔日一 · ofi〕
跃	〔⻊丿大 · ptmd〕
隆	〔阝夂一生 · thfl〕
魏	〔禾女鬼 · xbag〕
狠	〔犭艮 · mig〕
糊	〔米古月 · pcvy〕
扎	〔扌乚 · uae〕
忧	〔忄尤 · hoy〕
衡	〔行𩵋 · pwv〕
帐	〔巾长 · rpc〕
崇	〔山宀示 · vwfs〕
汗	〔氵干 · keg〕
赖	〔束⺈贝 · xxob〕
薄	〔艹氵甫寸 · lknk〕
净	〔冫⺈ · wxbv〕
粉	〔米八刀 · phpd〕
岩	〔山石 · vms〕
忆	〔忄乙 · hai〕
堡	〔亻口木土 · jdeg〕
巡	〔巛辶 · ouc〕
仔	〔亻子 · jhi〕
欣	〔斤欠 · teq〕
偿	〔亻龸云 · jsby〕
愤	〔忄十艹贝 · hnlo〕
阁	〔门各 · asg〕
详	〔讠羊 · sgy〕
竹	〔竹 · ru〕
漫	〔氵曰罒又 · koyr〕
董	〔艹千里 · lldl〕
撒	〔扌龷⺝攵 · ulvh〕
佩	〔亻⺇一巾 · jofr〕
丢	〔丿土厶 · tgks〕
绕	〔纟一儿 · ipfp〕
赤	〔土 · gch〕
扶	〔扌夫 · uhf〕
蛋	〔疋虫 · tcc〕
吐	〔口土 · dgt〕
返	〔⺁又辶 · xruc〕
闲	〔门木 · aem〕
陪	〔阝立口 · tidk〕
乔	〔丿大 · tmpd〕
盾	〔⺁十目 · xnqm〕
矿	〔石广 · mxg〕
矛	〔予丿 · itp〕
耐	〔而寸 · lkc〕
焦	〔隹灬 · uch〕
侍	〔亻土寸 · jgkc〕
拳	〔丷夫手 · hhus〕
墨	〔黑土 · pgt〕
允	〔厶儿 · kpe〕
侯	〔亻矢 · jnos〕
滑	〔氵骨 · kfg〕
润	〔氵门王 · kanw〕
胞	〔月勹巳 · vnvs〕
邦	〔阝 · ate〕
辈	〔非车 · ryc〕
井	〔井 · qj〕
荷	〔艹亻可 · ljzk〕
摄	〔扌耳又又 · uqrr〕
署	〔罒耂日 · yqor〕
荡	〔艹氵ㄋ · lkae〕
敏	〔𠂉母攵 · ekhp〕
递	〔丷𢎨辶 · htuc〕
泥	〔氵尸匕 · kcvb〕
骗	〔马户 · nmic〕
曰	〔曰 · or orr〕
彭	〔彡 · hes〕
租	〔禾且 · xfq〕
晨	〔日辰 · ofc〕
搜	〔扌臼丨又 · upgr〕
昏	〔氏日 · bor〕
幅	〔巾一口田 · rfdq〕
奏	〔㇏一大 · aifm〕
幽	〔山幺幺 · viiy〕
兼	〔䒑 · hbch〕
肃	〔肀八 · bphb〕
艇	〔舟㇒士廴 · itgu〕
辑	〔口耳 · ydqe〕
枝	〔木支 · eci〕
岳	〔一山 · tfvs〕
黎	〔禾人氺 · xpjk〕
浓	〔氵冖 · kwti〕
酸	〔酉厶八夊 · ykhh〕
污	〔氵二ㄅ · kmae〕
凉	〔冫小 · wgyx〕
辞	〔舌辛 · anx〕
嘛	〔口麻 · dzm〕
戒	〔戈廾 · plc〕
躺	〔身尚 · zss〕
菲	〔艹非 · lrf〕
垂	〔千艹士 · llgs〕
贯	〔毌贝 · kob〕
炼	〔火 · cryx〕
苍	〔艹人⺋ · ljzj〕
箱	〔⺮木目 · reqm〕
驾	〔力口马 · sdnm〕
驱	〔马匸㐅 · nnbi〕
凯	〔山己几 · vvoj〕
截	〔十戈隹 · npui〕
埋	〔土里 · gdl〕
拼	〔扌䒑廾 · uhlc〕
涌	〔氵龴 · kkty〕
乏	〔丿之 · tri〕
腾	〔月丷夫马 · vhhn〕
悉	〔丿米心 · tphx〕
冯	〔冫马 · wnm〕
诊	〔讠人彡 · sjes〕
皱	〔⺈彐皮 · xbrp〕
桑	〔又又又木 · rrre〕
慧	〔丰丰彐心 · aabh〕
漂	〔氵覀示 · kvfs〕
蛇	〔虫宀匕 · cwvb〕
恭	〔龷八⺗ · lhhx〕
迪	〔由辶 · duc〕
恋	〔亠心 · zchx〕
侦	〔亻⺊贝 · jyob〕
钢	〔钅冂㐅 · zmbi〕
氏	〔氏 · bs bss〕
贼	〔贝戈𠂇 · opns〕
燃	〔火犬灬 · cvmc〕
饮	〔饣欠 · qeq〕
碍	〔石日一寸 · mofk〕
韦	〔韦 · gw〕
尘	〔小土 · ygt〕
餐	〔歺又食 · grqs〕
邓	〔又阝 · rte〕
阅	〔门丷口儿 · ahdp〕
液	〔氵亠亻 · kzjv〕
欺	〔欠 · zheq〕
呵	〔口可 · dzk〕
牵	〔大冖牛 · mwqn〕
综	〔纟宀示 · iwfs〕
俩	〔亻两 · jml〕
踪	〔⻊宀示 · pwfs〕
殖	〔歹十目一 · gnqf〕
趋	〔走⺈彐 · pxbj〕
磨	〔麻石 · zms〕
绪	〔纟耂日 · iqor〕
锁	〔钅⺌贝 · zyob〕
陶	〔阝勹缶 · tnaf〕
蒂	〔艹冖巾 · liwr〕
慌	〔忄艹亡 · hlfo〕
臂	〔尸口辛⺝ · cdnv〕
慕	〔艹日大⺗ · lomh〕
晋	〔一业日 · fcor〕
卢	〔⺊尸 · ycs〕
惠	〔十田心 · nqkh〕
储	〔亻讠耂日 · jsqo〕
汤	〔氵ㄋ · kaes〕
宪	〔宀⺧儿 · wqpe〕
扰	〔扌尤 · uoy〕
宙	〔宀由 · wdy〕
聪	〔耳丷口心 · qhdh〕
怨	〔夕⺋心 · lzhx〕
呈	〔口王 · dnw〕
跌	〔⻊丿夫 · pthf〕
匆	〔勹丶 · neid〕
铺	〔钅甫 · znf〕
脉	〔月丶水 · viks〕
锋	〔钅夂丰 · zhaf〕
劫	〔土厶力 · gksl〕
芳	〔艹方 · llf〕
宾	〔宀 · wthb〕
帕	〔巾白 · rub〕
盗	〔冫欠皿 · weam〕
佳	〔亻土土 · jggt〕
遵	〔丷酉寸辶 · hyku〕
哦	〔口丿扌戈 · dtup〕
幼	〔幺力 · isl〕
仗	〔亻一 · jfbi〕
伪	〔亻丶力丶 · jisi〕
驶	〔马口 · ndbi〕
腹	〔月𠂉日夊 · veoh〕
牧	〔牜攵 · qhp〕
踏	〔⻊水日 · pkor〕
惜	〔忄龷日 · hlor〕
朵	〔几木 · oem〕
袖	〔衤由 · tdy〕
胁	〔月力八 · vshb〕
抛	〔扌九力 · uksl〕
霸	〔⻗革月 · ttvy〕
媒	〔女甘木 · bzem〕
频	〔止页 · sswy〕
勃	〔十冖子力 · nwhs〕
盯	〔目丁 · qad〕
弯	〔亠弓 · zcbg〕
抚	〔扌无 · udu〕
扭	〔扌ヿ土 · uagt〕
册	〔册 · ic〕
励	〔厂一力 · xfps〕
颤	〔亠囗口页 · zrdw〕
键	〔钅聿廴 · zbuy〕
勤	〔廿口龶力 · ldas〕
贡	〔工贝 · uob〕
洁	〔氵士口 · kgdk〕
怜	〔忄亽龴 · hjks〕
寿	〔寸 · akc〕
腊	〔月龷日 · vlor〕
贺	〔力口贝 · sdob〕
雾	〔⻗夂力 · thsl〕
龄	〔齿亽龴 · ljks〕
椅	〔木大可 · emzk〕
挤	〔扌齐 · uqq〕
扣	〔扌口 · udk〕
届	〔尸由 · cdy〕
券	〔丷夫刀 · hhpd〕
熊	〔厶⺝灬 · kvvc〕
爹	〔八乂夕夕 · hbll〕
尝	〔龸云 · sby〕
询	〔讠勹日 · snor〕
喷	〔口十艹贝 · dnlo〕
娇	〔女丿大 · btmp〕
夹	〔夫丷 · hhb〕
肥	〔月巴 · vmb〕
祝	〔礻口儿 · fdpe〕
吾	〔五口 · wdk〕
寄	〔宀大可 · wmzk〕
疼	〔疒夂⺀ · ahwb〕
斜	〔人斗 · jxjd〕
拟	〔扌人 · uvjr〕
迁	〔千辶 · luc〕
钻	〔钅⺊口 · zydk〕
浑	〔氵冖车 · kwyc〕
肚	〔月土 · vgt〕
艰	〔又艮 · rig〕
牢	〔宀牛 · wqn〕
惧	〔忄目 · hqhb〕
挡	〔扌⺌彐 · uybj〕
敲	〔高攴 · ghp〕
庞	〔广龙 · xtl〕
叛	〔丷⺁又 · huxr〕
鸣	〔口鸟 · dxn〕
柏	〔木白 · eub〕
薛	〔艹丿㠯辛 · ltkn〕
屈	〔尸屮凵 · csmk〕
叙	〔人又 · jxry〕
悟	〔忄五口 · hwdk〕
坡	〔土皮 · grp〕
辽	〔了辶 · ruc〕
腐	〔广亻寸人 · xjkj〕
匹	〔匸儿 · npe〕
铜	〔钅冂一口 · zmfd〕
籍	〔⺮耒龷日 · ralo〕
穆	〔禾白小彡 · xuye〕
割	〔宀丰口刂 · wadp〕
